name,common,area,stock,sex,a,b,lmax,linf,l50,a50,t0,k
Clupea harengus,Herring,Celtic Seas,her-nis,F,0.0048,3.198,,33,23,,,0.606
Pollachius pollachius,Pollack,North Sea,pol-nsea,C,0.0076,3.069,,85.6,47.1,,,0.19
Molva molva,Ling,Widely,lin-comb,C,0.0036,3.108,,119,74,7.2,,0.14
Sebastes norvegicus,Rose fish,Northern,smn-con,C,0.0178,2.972,,50.2,40.3,,0.08,0.11
Mullus surmuletus,Red mullet,Celtic Seas,mut-comb,F,0.0057,3.243,,47.5,16.9,,,0.21
Scopthalmus maximus,Turbot,North Sea,tur-nsea,F,0.0149,3.079,,66.7,34.2,2.2,0.29,0.32
Microstomus kitt,Lemon sole,North Sea,lem-nsea,C,0.0123,2.971,,37,27,,,0.42
Lepidorhombus whiffiagonis,Megrim,North Sea,meg-4a6a,C,0.0022,3.3433,,54,23,3,,0.12
Ammodytes spp.,Sandeels,North Sea,san-ns4,C,0.0049,2.783,,24,12,,,1
Pleuronectes platessa,Plaice,Celtic Seas,ple-celt,F,0.011,2.958,,48,22.9,,,0.23
Merlangius merlangus,Whiting,Celtic Seas,whg-7e-k,F,0.0103,2.395,,38,28,,-1.01,0.38
Melanogrammus aeglefinus,Haddock,Celtic Seas,had-iris,C,0.0113,2.96,,79.9,,2,-0.36,0.2
Lophius piscatorius,White anglerfish,Celtic Seas,ang-78ab,C,0.0198,2.895,133.1,105.555,73,,-0.38,0.18
Lophius piscatorius,White anglerfish,North Sea,ang-ivvi,C,0.0297,2.841,,106,61,,,0.18
Nephrops,Shellfish,Biscay-Iberia,nep-2829,F,0.00056,3.0288,,65,30,,,0.065
